x,y,z,u
0.013424629246726345,0.025750693438800532,1.2269867031781783e-05,0.2
0.01374681142356656,0.02645836353422362,1.2956746322324514e-05,0.2
0.014076590780288448,0.027182837170853246,1.3679427883926838e-05,0.2
0.014414144719470234,0.027924502398183358,1.4439479524574367e-05,0.2
0.014759655925963417,0.02868375892240861,1.523860703510646e-05,0.2
0.015113312366892754,0.02946101810642432,1.607865418921617e-05,0.2
0.01547530729165627,0.030256702969826483,1.6961602743450273e-05,0.2
0.015845839231925247,0.031071248188911788,1.7889572437209275e-05,0.2
0.016225112001644247,0.0319051000966776,1.8864820992747392e-05,0.2
0.01661333469703109,0.03275871668282199,1.9889744115172555e-05,0.2
0.017010721696576855,0.03363256759374367,2.0966875492446425e-05,0.2
0.0174174926610459,0.034527134132542076,2.2098886795384376e-05,0.2
0.017833872533475837,0.0354429092590173,2.3288587677655506e-05,0.2
0.018260091539177552,0.03638039758967014,2.4538925775782635e-05,0.2
0.01869638518573519,0.03734011539770206,2.5852986709142278e-05,0.2
0.019142994263006165,0.038322590613015205,2.7233994079964702e-05,0.2
0.019600164843121156,0.03932836282221243,2.8685309473333875e-05,0.2
0.020068148280484102,0.04035798326859724,3.0210432457187492e-05,0.2
0.020547201211772212,0.04141201485217383,3.181300058231694e-05,0.2
0.021037585555935975,0.04249103212964711,3.349678938236739e-05,0.2
0.021539568514199116,0.04359562131442263,3.526571237383766e-05,0.2
0.02205342257005865,0.04472638027660665,3.712382105608034e-05,0.2
0.022579425489284842,0.045883918543006115,3.9075304911301693e-05,0.2
0.023117861975868636,0.04706886109951016,4.112460402665437e-05,0.2
0.023669043251895776,0.04828189368204616,4.327765329655654e-05,0.2
0.024233270904699244,0.049523679992194376,4.5539323233958546e-05,0.2
0.024810847765928373,0.050794885857718505,4.7914330384107546e-05,0.2
0.025402085663462012,0.05209619693036481,5.040778802566803e-05,0.2
0.026007305421408538,0.05342831868586209,5.3025206170721806e-05,0.2
0.02662683686010584,0.05479197642392167,5.577249156476801e-05,0.2
0.02726101879612133,0.05618791526823743,5.8655947686723116e-05,0.2
0.02791019904225194,0.05761690016648579,6.16822747489209e-05,0.2
0.028574734407524116,0.0590797158903257,6.485856969711248e-05,0.2
0.02925499069719383,0.06057716703539865,6.819232621046631e-05,0.2
0.029951342712746565,0.06211007802132869,7.169143470156816e-05,0.2
0.030664174251897332,0.06367929309172238,7.536418231642112e-05,0.2
0.031393878108590664,0.06528567631416884,7.921925293444559e-05,0.2
0.032140856073000594,0.06693011158023975,8.326572716847936e-05,0.2
0.032905518931530695,0.06861350260548926,8.751308236477749e-05,0.2
0.03368828646681406,0.07033677292945414,9.197119260301237e-05,0.2
0.03448958745771327,0.07210086591565366,9.665032869627375e-05,0.2
0.03530985967932047,0.07390674475158963,0.00010156115819106866,0.2
0.036149549902957295,0.07575539244874642,0.00010671474536732149,0.2
0.03700911389617488,0.07764781184259087,0.0001121225512383738,0.2
0.03788901642392796,0.07958502559516847,0.00011779643369266745,0.2
0.03878975421957478,0.08156812704425892,0.00012375130535401913,0.2
0.03971183081839623,0.083598224697023,0.00013000175285754397,0.2
0.040655740024081524,0.08567640546632226,0.0001365603688147152,0.2
0.041621990437847124,0.08780378884966727,0.0001434408213501563,0.2
0.04261110545843678,0.08998152692921765,0.00015065785410164114,0.2
0.0436236232821215,0.09221080437178197,0.00015822728622009378,0.2
0.04466009690269957,0.09449283842881784,0.00016616601236958862,0.2
0.04572109411149654,0.09682887893643186,0.00017449200272735032,0.2
0.046807197497365234,0.09922020831537967,0.0001832243029837539,0.2
0.047919004446685745,0.10166814157106588,0.00019238303434232463,0.2
0.049057127143365444,0.10417402629354414,0.00020198939351973803,0.2
0.05022219256883895,0.10673924265751708,0.00021206565274582,0.2
0.051414842502068174,0.10936520342233638,0.00022263515976354668,0.2
0.05263573351954229,0.11205335393200266,0.00023372233782904453,0.2
0.05388553699527774,0.11480517211516564,0.00024535268571159027,0.2
0.05516493910081824,0.11762216848512397,0.0002575527776936109,0.2
0.05647464080523477,0.12050588613982532,0.00027035026357068376,0.2
0.057815357875125574,0.12345790076186641,0.0002837738686515364,0.2
0.0591878208746162,0.12647982061849294,0.0002978533937580469,0.2
0.06059277516535942,0.12957328656159964,0.00031261971522524327,0.2
0.06203098090653532,0.13273997202773022,0.0003281047849013042,0.2
0.0635032344470449,0.13598163018762896,0.0003443453867013596,0.2
0.06501036652945899,0.13930009005006228,0.00036138199174316006,0.2
0.06655318778386618,0.14269713629089587,0.0003792494202257677,0.2
0.06813253154428714,0.14617460356082126,0.00039798505658597853,0.2
0.06974925493942763,0.14973437888870658,0.0004176290496649441,0.2
0.07140423889267847,0.15337840168159642,0.00043822431270817166,0.2
0.07309838812211553,0.157108663724712,0.00045981652336552403,0.2
0.07483263114049978,0.16092720918145104,0.0004824541236912197,0.2
0.07660792025527717,0.16483613459338775,0.000506188320143832,0.2
0.0784252315685789,0.16883758888027323,0.0005310730835862921,0.2
0.08028556497722109,0.1729337733400348,0.0005571651492858846,0.2
0.08218994417270492,0.17712694164877635,0.0005845240169142505,0.2
0.08413941664121674,0.18141939986077849,0.0006132119505473864,0.2
0.08613505366362786,0.18581350640849822,0.0006432939786656444,0.2
0.08817795031549476,0.19031167210256922,0.0006748378941537324,0.2
0.0902692254670589,0.19491636013180172,0.000707914254300714,0.2
0.09241002178324684,0.1996300860631824,0.0007425963808000079,0.2
0.09460150572367024,0.20445541784187457,0.0007789603597493891,0.2
0.09684486754262578,0.2093949757912181,0.0008170850416509882,0.2
0.09914133024731675,0.21445145231170942,0.0008570545185160543,0.2
0.10149218806092229,0.2196276964871184,0.0008989678362017191,0.2
0.10389871648938219,0.22492651633178326,0.0009429136752251684,0.2
0.10636221705310178,0.23035077710918334,0.0009889841887183895,0.2
0.10888402796261866,0.2359034248040313,0.0010372780712504868,0.2
0.11146552411860265,0.2415874861222731,0.0010879005588276818,0.2
0.11410811711185578,0.2474060684910881,0.0011409634288933135,0.2
0.11681325522331233,0.25336236005888896,0.001196585000327838,0.2
0.11958242342403878,0.25945962969532166,0.0012548901334488297,0.2
0.12241714337523385,0.2657012269912655,0.0013160102300109788,0.2
0.12531897342822848,0.2720905822588332,0.001380083233206094,0.2
0.12828950862448585,0.27863120653137075,0.0014472536276631007,0.2
0.13133038069560132,0.28532669156345736,0.0015176724394480418,0.2
0.13444325806330254,0.2921807098309059,0.0015914972360640779,0.2
0.13762984583944937,0.29919701453076214,0.001668892126451486,0.2
0.14089188582603382,0.3063794395813056,0.0017500277609876617,0.2
0.1442311565151802,0.31373189962204884,0.001835081331487117,0.2
0.14764947308914508,0.32125839001373785,0.0019242365712014808,0.2
0.15114871784614714,0.32896305358987044,0.0020176963289256357,0.2
0.15473083548630862,0.33685017037347376,0.002115678517626353,0.2
0.15839776290269458,0.34492400352210784,0.0022183878844881048,0.2
0.1621514901967862,0.3531889331392769,0.0023260430303272323,0.2
0.16599406204420447,0.3616494592701428,0.0024388769938830427,0.2
0.16992757769471056,0.3703102019015264,0.002557137251817818,0.2
0.17395419097220535,0.37917590096190573,0.0026810857187167993,0.2
0.1780761102747296,0.388251416321417,0.002810998747088198,0.2
0.18229559857446415,0.39754172779185465,0.002947167127363193,0.2
0.1866149734177296,0.4070519351266709,0.003089896087895929,0.2
