x,x_dot,u
0.12425,0.17250000000000043,0.77618
0.1254,0.11499999999999982,0.77618
0.12655,0.17249999999999904,0.77618
0.12885,0.17250000000000043,0.77618
0.13,0.11550000000000032,0.77618
0.13116,0.05799999999999972,0.77618
0.13116,0.11499999999999982,0.77618
0.13346,0.11499999999999982,0.77618
0.13346,0.057500000000000606,0.77618
0.13461,0.057500000000000606,0.77618
0.13461,0.0,0.77618
0.13461,0.0,0.77618
0.13461,0.0,0.77618
0.13461,0.0,0.77618
0.13461,0.0,0.77618
0.13461,-0.057500000000000606,0.77618
0.13346,-0.057500000000000606,0.77618
0.13346,0.0,0.77618
0.13346,0.0,0.77618
0.13346,-0.11499999999999982,0.77618
0.13116,-0.17299999999999954,0.77618
0.13,-0.11550000000000032,0.77618
0.12885,-0.17250000000000043,0.77618
0.12655,-0.11499999999999982,0.77618
0.12655,-0.05749999999999922,0.77618
0.1254,-0.11499999999999982,0.77618
0.12425,-0.17250000000000043,0.77618
0.12195,-0.17249999999999974,0.77618
0.1208,-0.11499999999999982,0.77618
0.11965,-0.17250000000000043,0.77618
0.11735,-0.17250000000000043,0.77618
0.1162,-0.11499999999999982,0.77618
0.11505,-0.17249999999999974,0.77618
0.11275,-0.17249999999999974,0.77618
0.1116,-0.11499999999999982,0.77618
0.11045,-0.17250000000000043,0.77618
0.10815,-0.11500000000000052,0.77618
0.10815,-0.05749999999999991,0.77618
0.107,-0.11549999999999963,0.77618
0.10584,-0.05799999999999972,0.77618
0.10584,-0.11500000000000052,0.77618
0.10354,-0.11500000000000052,0.77618
0.10354,-0.05749999999999991,0.77618
0.10239,-0.05749999999999991,0.77618
0.10239,0.0,0.77618
0.10239,0.0,0.77618
0.10239,0.0,0.77618
0.10239,0.0,0.77618
0.10239,0.05749999999999991,0.77618
0.10354,0.05749999999999991,0.77618
0.10354,0.0,0.77618
0.10354,0.11500000000000052,0.77618
0.10584,0.11500000000000052,0.77618
0.10584,0.05799999999999972,0.77618
0.107,0.11549999999999963,0.77618
0.10815,0.05749999999999991,0.77618
0.10815,0.11500000000000052,0.77618
0.11045,0.17250000000000043,0.77618
0.1116,0.05749999999999991,0.77618
0.1116,0.05749999999999991,0.77618
0.11275,0.17249999999999974,0.77618
0.11505,0.17249999999999974,0.77618
0.1162,0.05749999999999991,0.77618
0.1162,0.05749999999999991,0.77618
0.11735,0.17250000000000043,0.77618
0.11965,0.17250000000000043,0.77618
0.1208,0.11499999999999982,0.77618
0.12195,0.05749999999999991,0.77618
0.12195,0.11499999999999982,0.77618
0.12425,0.17250000000000043,0.77618
0.1254,0.057500000000000606,0.77618
0.1254,0.05749999999999922,0.77618
0.12655,0.05749999999999922,0.77618
0.12655,0.11499999999999982,0.77618
0.12885,0.11499999999999982,0.77618
0.12885,0.0,0.77618
0.12885,0.0,0.77618
0.12885,0.057500000000000606,0.77618
0.13,0.057500000000000606,0.77618
0.13,0.0,0.77618
0.13,0.0,0.77618
0.13,-0.057500000000000606,0.77618
0.12885,-0.057500000000000606,0.77618
0.12885,0.0,0.77618
0.12885,-0.11499999999999982,0.77618
0.12655,-0.11499999999999982,0.77618
0.12655,0.0,0.77618
0.12655,-0.05749999999999922,0.77618
0.1254,-0.05749999999999922,0.77618
0.1254,-0.057500000000000606,0.77618
0.12425,-0.17250000000000043,0.77618
0.12195,-0.17249999999999974,0.77618
0.1208,-0.05749999999999991,0.77618
0.1208,0.0,0.77618
0.1208,-0.05749999999999991,0.77618
0.11965,-0.17250000000000043,0.77618
0.11735,-0.17250000000000043,0.77618
0.1162,-0.05749999999999991,0.77618
0.1162,-0.05749999999999991,0.77618
0.11505,-0.17249999999999974,0.77618
0.11275,-0.11499999999999982,0.77618
0.11275,-0.05749999999999991,0.77618
0.1116,-0.05749999999999991,0.77618
0.1116,-0.05749999999999991,0.77618
0.11045,-0.05749999999999991,0.77618
0.11045,-0.11500000000000052,0.77618
0.10815,-0.11500000000000052,0.77618
0.10815,0.0,0.77618
0.10815,-0.05749999999999991,0.77618
0.107,-0.05749999999999991,0.77618
0.107,0.0,0.77618
0.107,0.0,0.77618
0.107,0.0,0.77618
0.107,0.0,0.77618
0.107,0.0,0.77618
0.107,0.0,0.77618
0.107,0.0,0.77618
0.107,0.05749999999999991,0.77618
0.10815,0.05749999999999991,0.77618
0.10815,0.0,0.77618
0.10815,0.11500000000000052,0.77618
0.11045,0.11500000000000052,0.77618
0.11045,0.05749999999999991,0.77618
0.1116,0.05749999999999991,0.77618
0.1116,0.0,0.77618
0.1116,0.05749999999999991,0.77618
0.11275,0.17249999999999974,0.77618
0.11505,0.11499999999999982,0.77618
0.11505,0.05749999999999991,0.77618
0.1162,0.05749999999999991,0.77618
0.1162,0.05749999999999991,0.77618
0.11735,0.17250000000000043,0.77618
0.11965,0.11500000000000052,0.77618
0.11965,0.05749999999999991,0.77618
0.1208,0.05749999999999991,0.77618
0.1208,0.0,0.77618
0.1208,0.05749999999999991,0.77618
0.12195,0.05749999999999991,0.77618
0.12195,0.0,0.77618
0.12195,0.11499999999999982,0.77618
0.12425,0.11499999999999982,0.77618
0.12425,0.0,0.77618
0.12425,0.057500000000000606,0.77618
0.1254,0.057500000000000606,0.77618
0.1254,0.0,0.77618
0.1254,0.0,0.77618
0.1254,0.0,0.77618
0.1254,0.0,0.77618
0.1254,-0.057500000000000606,0.77618
0.12425,-0.057500000000000606,0.77618
0.12425,0.0,0.77618
0.12425,0.0,0.77618
0.12425,-0.11499999999999982,0.77618
0.12195,-0.11499999999999982,0.77618
0.12195,0.0,0.77618
0.12195,-0.05749999999999991,0.77618
0.1208,-0.05749999999999991,0.77618
0.1208,0.0,0.77618
0.1208,-0.05749999999999991,0.77618
0.11965,-0.05749999999999991,0.77618
0.11965,-0.11500000000000052,0.77618
0.11735,-0.11500000000000052,0.77618
0.11735,-0.05749999999999991,0.77618
0.1162,-0.05749999999999991,0.77618
0.1162,-0.05749999999999991,0.77618
0.11505,-0.05749999999999991,0.77618
0.11505,-0.11499999999999982,0.77618
0.11275,-0.11499999999999982,0.77618
0.11275,-0.05749999999999991,0.77618
0.1116,-0.05749999999999991,0.77618
0.1116,0.0,0.77618
0.1116,0.0,0.77618
0.1116,-0.05749999999999991,0.77618
