x,omega,u
0.14654660218607302,19.93047366684841,1.8216
0.14661616908119,19.929022229241454,1.8216
0.14655725574410974,19.92754160053488,1.8216
0.14650002013270452,19.92602650037409,1.8216
0.14641122650135116,19.924471135519735,1.8216
0.14634693605348234,19.922869164476374,1.8216
0.14641158721237138,19.921213662121147,1.8216
0.1463123832932042,19.919497084332352,1.8216
0.1463199666132555,19.91771123261812,1.8216
0.14636669966193475,19.915847218745075,1.8216
0.14624139871989175,19.91389542936692,1.8216
0.1464352431443899,19.911845490653118,1.8216
0.14645318642048485,19.909793753025603,1.8216
0.14662830742644914,19.90775727505992,1.8216
0.14664134335494447,19.905755008362643,1.8216
0.14664229965857925,19.903807869787833,1.8216
0.1465694947529094,19.901938815127444,1.8216
0.1464683278947024,19.900172914275448,1.8216
0.14641272806583042,19.89842990775766,1.8216
0.14642254276102962,19.896710265571038,1.8216
0.14629543826388594,19.89501404652047,1.8216
0.14624293383888445,19.893340871690256,1.8216
0.14623054383477407,19.891689897915583,1.8216
0.1463038352808897,19.890059791254014,1.8216
0.14631372547374424,19.888448700456973,1.8216
0.1463166111619054,19.88685423044121,1.8216
0.1462734684461708,19.88527341576026,1.8216
0.1462268025065186,19.883702694075996,1.8216
0.14624475417124191,19.88213787963001,1.8216
0.14619179676030816,19.880574136715182,1.8216
0.14603171656502092,19.879005953147104,1.8216
0.14603019822328497,19.87742711373558,1.8216
0.14611662626143643,19.875749559621422,1.8216
0.1461587036213673,19.873989447115726,1.8216
0.1461086402872231,19.87215970422971,1.8216
0.1459439463463294,19.870270105838884,1.8216
0.14587010125074096,19.868434867481433,1.8216
0.14575430462464728,19.866686736847285,1.8216
0.14563897776174264,19.865139398904212,1.8216
0.1455558800090562,19.8638015673869,1.8216
0.1455232146901625,19.86268457859536,1.8216
0.14547649003011165,19.861802466559034,1.8216
0.14529688110796649,19.8610645195667,1.8216
0.14512620607504115,19.86046133900571,1.8216
0.1449643810450518,19.859983698698787,1.8216
0.1448584494459276,19.85962251837553,1.8216
0.14470422451324635,19.859368837143883,1.8216
0.14462871846923958,19.8592137869616,1.8216
0.1445505700072946,19.859148566107734,1.8216
0.14441107550604054,19.859351189532017,1.8216
0.14429499366658208,19.859891795635924,1.8216
0.14430386883540322,19.860733314201887,1.8216
0.14407701515824797,19.86183886270163,1.8216
0.14394213440260034,19.863171626917815,1.8216
0.1438993104547441,19.864694745987126,1.8216
0.14380227080169772,19.866184424986876,1.8216
0.14388254997525007,19.867524495511304,1.8216
0.14375697220847072,19.868705619521226,1.8216
0.14378987240895896,19.86971776923591,1.8216
0.1437671727805752,19.870550227133098,1.8216
0.14380547525773713,19.87129910605709,1.8216
0.14377231500976928,19.87198136849123,1.8216
0.1437722143462288,19.872616046806684,1.8216
0.14383403853735527,19.873224350850307,1.8216
0.14384491858835813,19.873829777006346,1.8216
0.14394873625313181,19.87445821873193,1.8216
0.14390271623786446,19.87503055845832,1.8216
0.14383080891543076,19.875548761801493,1.8216
0.14380677549513532,19.876014772270338,1.8216
0.1436219069029988,19.876430520109476,1.8216
0.14367029251146798,19.87679793114211,1.8216
0.14353178786836218,19.877118935612863,1.8216
0.14348554974875713,19.877395477030625,1.8216
0.14342407788002237,19.877629521011375,1.8216
0.14348008875168472,19.8779041782557,1.8216
0.14355237356239536,19.878197628023894,1.8216
0.14359578471423787,19.878490543920346,1.8216
0.14362404600323453,19.878766001043786,1.8216
0.14376408576533306,19.879009384611223,1.8216
0.14388327139729037,19.879208300055776,1.8216
0.14393058326132746,19.879271370463556,1.8216
